,price
18113,324995
18114,71999
18115,65000
18116,89900
18117,35000
18118,22500
18119,48000
18120,47999
18121,40459
18122,91995
18123,75000
18124,72999
18125,55000
18126,19975
18127,12000
18128,30499
18129,11500
18130,26000
18131,39390
18132,28748
18133,34700
18134,17000
18135,29000
18136,7500
18137,11500
18138,33950
18139,30775
18140,27000
18141,5500
18142,34500
18143,13000
18144,16500
18145,14500
18146,37998
18147,40999
18148,13000
18149,72995
18150,32850
18151,15499
18152,31000
18153,7000
18154,3750
18155,19900
18156,24500
18157,7999
18158,27500
18159,55329
18160,18000
18161,54000
18162,128995
18163,29500
18164,17900
18165,171900
18166,80998
18167,6700
18168,42691
18169,32000
18170,99900
18171,36800
18172,39500
18173,28900
18174,43642
18175,15000
18176,27785
18177,47999
18178,42700
18179,8000
18180,20000
18181,63997
18182,38322
18183,25900
18184,24000
18185,97555
18186,38095
18187,36900
18188,30275
18189,44900
18190,48000
18191,17999
18192,13895
18193,15000
18194,5500
18195,38999
18196,6700
18197,10900
18198,140000
18199,17899
18200,21000
18201,29999
18202,5000
18203,29000
18204,18900
18205,28900
18206,29000
18207,7900
18208,28895
18209,82000
18210,32000
18211,31000
18212,12250
18213,35345
18214,47000
18215,75500
18216,18000
18217,21800
18218,28300
18219,20150
18220,140000
18221,7200
18222,47000
18223,33500
18224,48000
18225,20900
18226,17500
18227,30890
18228,12499
18229,17100
18230,77500
18231,41000
18232,28000
18233,19500
18234,15000
18235,31650
18236,38995
18237,30000
18238,7995
18239,30900
18240,13995
18241,16500
18242,45500
18243,76000
18244,12000
18245,138999
18246,28995
18247,6000
18248,28324
18249,39500
18250,54000
18251,23999
18252,10999
18253,14900
18254,48500
18255,21000
18256,31000
18257,39750
18258,57850
18259,45999
18260,57000
18261,7500
18262,36500
18263,131999
18264,33999
18265,38900
18266,20500
18267,14900
18268,40036
18269,26500
18270,15000
18271,28900
18272,19900
18273,10500
18274,33500
18275,10000
18276,19780
18277,75900
18278,8000
18279,46750
18280,49998
18281,45000
18282,34995
18283,24950
18284,8500
18285,11200
18286,112000
18287,29000
18288,11990
18289,124995
18290,59900
18291,37000
18292,39979
18293,46999
18294,29995
18295,59549
18296,39100
18297,21995
18298,9000
18299,48000
18300,80900
18301,12999
18302,42850
18303,76740
18304,21500
18305,21000
18306,33700
18307,29800
18308,114000
18309,11000
18310,22495
18311,40000
18312,99999
18313,92500
18314,5199
18315,69998
18316,68420
18317,58000
18318,37000
18319,13349
18320,12850
18321,46598
18322,38500
18323,24500
18324,38000
18325,13300
18326,8500
18327,244896
18328,15000
18329,31871
18330,425000
18331,92900
18332,7500
18333,29182
18334,28000
18335,15500
18336,26000
18337,20499
18338,15900
18339,17000
18340,23000
18341,16500
18342,61000
18343,9500
18344,3500
18345,80000
18346,14500
18347,44999
18348,69250
18349,43900
18350,36000
18351,54599
18352,16750
18353,34500
18354,649999
18355,28590
18356,24500
18357,65000
18358,18750
18359,4000
18360,24500
18361,17800
18362,68750
18363,30950
18364,17900
18365,21373
18366,39500
18367,38500
18368,51890
18369,22945
18370,15000
18371,26500
18372,8999
18373,29999
18374,39999
18375,44990
18376,8950
18377,18000
18378,15900
18379,39366
18380,30275
18381,14900
18382,22945
18383,29999
18384,229900
18385,6500
18386,15900
18387,89999
18388,92000
18389,31990
18390,36495
18391,28500
18392,27899
18393,17900
18394,13000
18395,18300
18396,15000
18397,59999
18398,55000
18399,13490
18400,116999
18401,19000
18402,21373
18403,15990
18404,82000
18405,6000
18406,9500
18407,18000
18408,33000
18409,34999
18410,8900
18411,16000
18412,21000
18413,39000
18414,90000
18415,45500
18416,67250
18417,20490
18418,34500
18419,9495
18420,37405
18421,24000
18422,32500
18423,10995
18424,69000
18425,11000
18426,78900
18427,27654
18428,48000
18429,65000
18430,24999
18431,88900
18432,47998
18433,11000
18434,31000
18435,85500
18436,49900
18437,142998
18438,76500
18439,43550
18440,35387
18441,28000
18442,45500
18443,13999
18444,27000
18445,28825
18446,18400
18447,34000
18448,10000
18449,8500
18450,44600
18451,179900
18452,89000
18453,54999
18454,6900
18455,62450
18456,6100
18457,18000
18458,27500
18459,29000
18460,29000
18461,38000
18462,24440
18463,104999
18464,55500
18465,29000
18466,13000
18467,14995
18468,28535
18469,62999
18470,36999
18471,44900
18472,28500
18473,28251
18474,98900
18475,51950
18476,31985
18477,44646
18478,15900
18479,47998
18480,59400
18481,16500
18482,7200
18483,8500
18484,44950
18485,244896
18486,33800
18487,11000
18488,34999
18489,54000
18490,35273
18491,55329
18492,43500
18493,75000
18494,20900
18495,20499
18496,17900
18497,93500
18498,9000
18499,14500
18500,19980
18501,36750
18502,54598
18503,15599
18504,144940
18505,42995
18506,19500
18507,17000
18508,84645
18509,33610
18510,69500
18511,51900
18512,5500
18513,22500
18514,95500
18515,17900
18516,69900
18517,29900
18518,33700
18519,9250
18520,24000
18521,57480
18522,42900
18523,29998
18524,30000
18525,479995
18526,68000
18527,19250
18528,15500
18529,13995
18530,42950
18531,6995
18532,29000
18533,12000
18534,29000
18535,22000
18536,9599
18537,41999
18538,151900
18539,22500
18540,29000
18541,32000
18542,34000
18543,28750
18544,56900
18545,52999
18546,52998
18547,55460
18548,46598
18549,5500
18550,27995
18551,6000
18552,26000
18553,5499
18554,15000
18555,9400
18556,53900
18557,53900
18558,40950
18559,6750
18560,67000
18561,40368
18562,20150
18563,17495
18564,13750
18565,12599
18566,17500
18567,27500
18568,57000
18569,10500
18570,13715
18571,66200
18572,8500
18573,32085
18574,13490
18575,34250
18576,17800
18577,54000
18578,58900
18579,115000
18580,68000
18581,65900
18582,71999
18583,16500
18584,27875
18585,11500
18586,45277
18587,26000
18588,27500
18589,9800
18590,7858
18591,5200
18592,35000
18593,29000
18594,7500
18595,11495
18596,15999
18597,69995
18598,19000
18599,28495
18600,35300
18601,44646
18602,27450
18603,32000
18604,43000
18605,16000
18606,130000
18607,19500
18608,92500
18609,11900
18610,14000
18611,10000
18612,25900
18613,6699
18614,1599000
18615,28000
18616,69999
18617,27000
18618,11500
18619,21500
18620,52000
18621,50000
18622,15500
18623,27500
18624,36495
18625,4500
18626,18500
18627,79950
18628,10000
18629,11900
18630,35273
18631,98900
18632,57480
18633,35900
18634,36000
18635,77500
18636,53000
18637,135800
18638,17500
18639,46500
18640,4500
18641,44800
18642,2500
18643,175000
18644,38999
18645,90000
18646,5900
18647,23300
18648,86500
18649,36949
18650,28000
18651,87500
18652,171900
18653,72950
18654,9999
18655,67500
18656,27000
18657,28000
18658,19999
18659,15500
18660,41500
18661,47500
18662,34900
18663,21000
18664,21990
18665,40999
18666,27500
18667,20500
18668,15000
18669,9000
18670,122950
18671,22000
18672,34084
18673,40200
18674,47598
18675,109499
18676,27900
18677,16770
18678,49900
18679,15750
18680,9500
18681,49995
18682,30000
18683,52000
18684,86999
18685,6499
18686,20000
18687,30500
18688,110000
18689,5990
18690,20500
18691,197499
18692,68900
18693,50000
18694,51890
18695,26000
18696,84500
18697,15900
18698,37900
18699,5200
18700,37500
18701,8500
18702,13500
18703,18200
18704,48149
18705,49000
18706,40000
18707,104000
18708,10999
18709,84900
18710,41000
18711,75900
18712,35645
18713,21000
18714,16500
18715,749950
18716,12995
18717,30000
18718,15499
18719,16500
18720,37000
18721,28000
18722,14500
18723,52000
18724,72598
18725,20995
18726,17000
18727,21995
18728,49700
18729,8500
18730,6880
18731,73300
18732,27500
18733,54500
18734,74999
18735,14311
18736,99900
18737,12000
18738,91000
18739,8500
18740,15500
18741,18000
18742,21500
18743,34000
18744,83900
18745,124900
18746,8500
18747,21500
18748,36139
18749,55000
18750,26990
18751,79900
18752,14500
18753,90000
18754,69900
18755,9500
18756,36500
18757,23000
18758,34500
18759,20500
18760,45500
18761,35707
18762,52999
18763,33687
18764,34000
18765,36000
18766,34995
18767,28500
18768,23598
18769,33000
18770,6900
18771,488880
18772,60894
18773,16800
18774,31000
18775,83000
18776,2500
18777,10000
18778,5900
18779,76373
18780,15500
18781,30999
18782,60867
18783,42388
18784,64000
18785,22500
18786,18051
18787,28590
18788,37000
18789,19500
18790,64900
18791,22000
18792,54999
18793,15499
18794,84645
18795,20500
18796,11200
18797,54000
18798,46199
18799,29000
18800,9200
18801,46500
18802,50000
18803,30500
18804,69500
18805,84900
18806,11600
18807,5750
18808,26900
18809,46995
18810,25500
18811,43550
18812,15900
18813,73500
18814,65900
18815,23105
18816,22000
18817,67000
18818,16000
18819,68500
18820,26691
18821,51950
18822,7600
18823,19950
18824,35500
18825,53500
18826,151900
18827,36000
18828,11000
18829,19980
18830,52000
18831,17500
18832,78350
18833,15500
18834,18700
18835,20500
18836,12500
18837,60000
18838,136900
18839,41400
18840,59000
18841,9499
18842,9950
18843,90200
18844,315000
18845,29950
18846,21500
18847,25980
18848,36500
18849,39000
18850,29510
18851,14500
18852,41741
18853,76598
18854,62900
18855,22500
18856,39000
18857,29500
18858,22000
18859,36000
18860,34900
18861,19290
18862,25215
18863,32750
18864,32300
18865,10999
18866,35619
18867,21900
18868,45423
18869,139500
18870,48500
18871,68000
18872,23500
18873,30919
18874,19995
18875,29993
18876,57000
18877,47000
18878,49999
18879,44900
18880,4999
18881,14500
18882,14990
18883,38400
18884,100000
18885,26500
18886,491836
18887,67000
18888,10500
18889,99750
18890,53900
18891,33900
18892,39499
18893,51750
18894,57480
18895,48219
18896,43147
18897,67999
18898,38500
18899,41500
18900,31500
18901,21900
18902,21999
18903,29995
18904,20000
18905,43000
18906,72500
18907,24000
18908,17500
18909,23500
18910,22000
18911,42800
18912,5700
18913,26900
18914,12950
18915,10200
18916,9999
18917,16770
18918,2000
18919,15000
18920,50000
18921,26000
18922,55000
18923,119999
18924,36969
18925,4500
18926,65900
18927,104999
18928,39998
18929,9950
18930,8400
18931,27798
18932,20150
18933,238900
18934,16995
18935,13000
18936,37499
18937,29999
18938,13349
18939,99000
18940,6750
18941,36950
18942,42998
18943,267950
18944,42242
18945,10995
18946,2954083
18947,54500
18948,39500
18949,19425
18950,74000
18951,2500
18952,6500
18953,35900
18954,55460
18955,11250
18956,36500
18957,62999
18958,45000
18959,10400
18960,28900
18961,29000
18962,15000
18963,9000
18964,43860
18965,34995
18966,52999
18967,15500
18968,44000
18969,24840
18970,33000
18971,17500
18972,20900
18973,19950
18974,31000
18975,28000
18976,37300
18977,19190
18978,26000
18979,15900
18980,12000
18981,49883
18982,143998
18983,8500
18984,44750
18985,15100
18986,37700
18987,50000
18988,15900
18989,15499
18990,16500
18991,7000
18992,21500
18993,38500
18994,26500
18995,61950
18996,20990
18997,40995
18998,32000
18999,151900
19000,38698
19001,12850
19002,28825
19003,12500
19004,18999
19005,84999
19006,26950
19007,61900
19008,22999
19009,68995
19010,63500
19011,26000
19012,38500
19013,21612
19014,46598
19015,8200
19016,27500
19017,85000
19018,18000
19019,92900
19020,6250
19021,45999
19022,149000
19023,10999
19024,48990
19025,15500
19026,49273
19027,16995
19028,7750
19029,19999
19030,40000
19031,14945
19032,27599
19033,25500
19034,32750
19035,16500
19036,35000
19037,272950
19038,47500
19039,33499
19040,41500
19041,11900
19042,24899
19043,175000
19044,45000
19045,52999
19046,52500
19047,66500
19048,38000
19049,8500
19050,52991
19051,399950
19052,84995
19053,32750
19054,3500
19055,6500
19056,19800
19057,6000
19058,73600
19059,10500
19060,11900
19061,16500
19062,34000
19063,37998
19064,53722
19065,34500
19066,15300
19067,29000
19068,18000
19069,41500
19070,4199
19071,36000
19072,14500
19073,155700
19074,9500
19075,16000
19076,12250
19077,6500
19078,36340
19079,12850
19080,59900
19081,84997
19082,26000
19083,53500
19084,9900
19085,75000
19086,20708
19087,399950
19088,13700
19089,119999
19090,4900
19091,22500
19092,15500
19093,59950
19094,39998
19095,50998
19096,25000
19097,90000
19098,13800
19099,17000
19100,62479
19101,29995
19102,47850
19103,89900
19104,7500
19105,90000
19106,85500
19107,55000
19108,12500
19109,11500
19110,9999
19111,26500
19112,77999
19113,36800
19114,27785
19115,20470
19116,5500
19117,2500
19118,1599000
19119,69900
19120,3995
19121,30000
19122,38322
19123,29000
19124,7000
19125,28500
19126,124900
19127,11500
19128,17500
19129,142998
19130,11500
19131,24999
19132,57000
19133,41900
19134,18000
19135,9000
19136,47999
19137,15000
19138,2300
19139,21999
19140,11900
19141,30500
19142,9995
19143,18750
19144,23000
19145,9000
19146,7390
19147,9000
19148,15000
19149,17800
19150,130000
19151,11000
19152,4400
19153,35000
19154,35273
19155,38000
19156,13000
19157,24500
19158,22500
19159,130000
19160,46900
19161,30089
19162,45000
19163,9400
19164,6500
19165,39990
19166,20708
19167,24950
19168,33995
19169,35999
19170,19550
19171,17995
19172,103500
19173,28196
19174,85989
19175,97500
19176,5000
19177,31990
19178,47000
19179,9999
19180,7500
19181,4999
19182,5000
19183,7300
19184,35000
19185,31000
19186,82000
19187,28500
19188,210000
19189,24500
19190,29500
19191,22000
19192,20500
19193,57300
19194,37995
19195,32900
19196,59400
19197,67999
19198,15000
19199,77535
19200,25500
19201,19500
19202,32990
19203,36000
19204,25000
19205,31999
19206,37999
19207,84500
19208,41741
19209,7900
19210,50000
19211,11995
19212,6500
19213,15600
19214,109499
19215,61000
19216,49500
19217,20000
19218,34995
19219,69900
19220,38598
19221,11000
19222,61000
19223,52645
19224,17500
19225,18500
19226,64600
19227,55600
19228,64900
19229,13999
19230,29000
19231,78499
19232,13888
19233,32850
19234,5700
19235,175000
19236,146000
19237,72995
19238,38900
19239,19600
19240,39500
19241,33200
19242,41500
19243,16000
19244,52999
19245,20900
19246,48999
19247,41000
19248,43499
19249,57999
19250,17999
19251,24590
19252,10000
19253,17500
19254,21800
19255,33200
19256,12900
19257,18400
19258,12000
19259,48000
19260,38000
19261,50000
19262,33531
19263,21000
19264,274900
19265,35999
19266,33900
19267,44000
19268,30000
19269,30000
19270,7000
19271,91000
19272,12999
19273,144940
19274,72999
19275,4000
19276,72567
19277,8900
19278,23900
19279,15499
19280,32107
19281,37000
19282,21500
19283,53950
19284,6450
19285,44998
19286,35998
19287,29990
19288,30000
19289,8500
19290,4000
19291,12950
19292,31000
19293,44500
19294,3000
19295,12000
19296,35000
19297,12000
19298,26900
19299,24840
19300,27999
19301,7500
19302,18000
19303,43000
19304,28450
19305,2000
19306,26000
19307,79999
19308,6100
19309,17000
19310,23500
19311,25999
19312,159500
19313,47999
19314,24995
19315,112500
19316,27800
19317,8500
19318,32085
19319,44950
19320,43250
19321,42995
19322,114998
19323,33999
19324,24000
19325,57000
19326,24999
19327,7500
19328,51999
19329,59335
19330,23750
19331,29900
19332,45999
19333,30999
19334,69500
19335,26999
19336,65000
19337,33900
19338,10000
19339,84999
19340,53568
19341,17800
19342,15500
19343,22800
19344,83998
19345,32000
19346,84999
19347,98000
19348,26000
19349,56900
19350,42995
19351,29998
19352,42900
19353,39687
19354,30000
19355,3500
19356,12000
19357,29995
19358,58900
19359,2500
19360,16500
19361,44000
19362,17500
19363,29500
19364,43000
19365,45900
19366,17550
19367,21000
19368,105000
19369,13750
19370,469900
19371,18999
19372,35387
19373,399900
19374,7900
19375,13750
19376,66500
19377,14000
19378,74900
19379,1599000
19380,27000
19381,54900
19382,8500
19383,55000
19384,35000
19385,30000
19386,45500
19387,43500
19388,15500
19389,53500
19390,16000
19391,5500
19392,31995
19393,27500
19394,28900
19395,194965
19396,36500
19397,122950
19398,46500
19399,26545
19400,17995
19401,6499
19402,50000
19403,54900
19404,10999
19405,33500
19406,12599
19407,7750
19408,24999
19409,59000
19410,45770
19411,34999
19412,44800
19413,81900
19414,52500
19415,32000
19416,14900
19417,92888
19418,60999
19419,29000
19420,17500
19421,34000
19422,44600
19423,47500
19424,54900
19425,8995
19426,19995
19427,12995
19428,62900
19429,15999
19430,6999
19431,49936
19432,53000
19433,15995
19434,26497
19435,51798
19436,71995
19437,15700
19438,73500
19439,31000
19440,24995
19441,35000
19442,12000
19443,25000
19444,94998
19445,5000
19446,75500
19447,21500
19448,10500
19449,25000
19450,55000
19451,53000
19452,6700
19453,20900
19454,69900
19455,92900
19456,22450
19457,18500
19458,24950
19459,2300
19460,26816
19461,15000
19462,41500
19463,16500
19464,100000
19465,9950
19466,14599
19467,32500
19468,33410
19469,31500
19470,27785
19471,39884
19472,71000
19473,52999
19474,33000
19475,8500
19476,15000
19477,27500
19478,21000
19479,41986
19480,22999
19481,74500
19482,57900
19483,41500
19484,29000
19485,86500
19486,143998
19487,185500
19488,12000
19489,6880
19490,89000
19491,27499
19492,68590
19493,6700
19494,159500
19495,44870
19496,33995
19497,19500
19498,17000
19499,33299
19500,65000
19501,52000
19502,35707
19503,26999
19504,20995
19505,15995
19506,38978
19507,29990
19508,86999
19509,15000
19510,16500
19511,85495
19512,17000
19513,12000
19514,48149
19515,49573
19516,13999
19517,67100
19518,19999
19519,29950
19520,116911
19521,57000
19522,61500
19523,39900
19524,11400
19525,13895
19526,12000
19527,48990
19528,29500
19529,12000
19530,417500
19531,67000
19532,18000
19533,40000
19534,3500
19535,27500
19536,59000
19537,55000
19538,8999
19539,30900
19540,43500
19541,44800
19542,15599
19543,28500
19544,49700
19545,57999
19546,37500
19547,29998
19548,54999
19549,21612
19550,36900
19551,21900
19552,27999
19553,11000
19554,43900
19555,55000
19556,45000
19557,48000
19558,145000
19559,20995
19560,59900
19561,11000
19562,44800
19563,35999
19564,20000
19565,45985
19566,91000
19567,35387
19568,45000
19569,24000
19570,13500
19571,62999
19572,22500
19573,3500
19574,13000
19575,18000
19576,50000
19577,13200
19578,129000
19579,51750
19580,41000
19581,32500
19582,12000
19583,27599
19584,49750
19585,74500
19586,29999
19587,31000
19588,61000
19589,13000
19590,44000
19591,21000
19592,18051
19593,37000
19594,9500
19595,15000
19596,10600
19597,73600
19598,18995
19599,59203
19600,21000
19601,37000
19602,35500
19603,24840
19604,8900
19605,61350
19606,15900
19607,30427
19608,26500
19609,49900
19610,53500
19611,30500
19612,7300
19613,28000
19614,36599
19615,69000
19616,26500
19617,19212
19618,43000
19619,27500
19620,19800
19621,54500
19622,38005
19623,24500
19624,65000
19625,5499
19626,15500
19627,21900
19628,29998
19629,6500
19630,15499
19631,15900
19632,11999
19633,18000
19634,25382
19635,74900
19636,29000
19637,26000
19638,30000
19639,25500
19640,30000
19641,48500
19642,44249
19643,13046
19644,17238
19645,18000
19646,35297
19647,44850
19648,42598
19649,20900
19650,32085
19651,67000
19652,33000
19653,19500
19654,12700
19655,18000
19656,25999
19657,43500
19658,40999
19659,26999
19660,75000
19661,47500
19662,51000
19663,62000
19664,98000
19665,27500
19666,12700
19667,82499
19668,25000
19669,36994
19670,269991
19671,22000
19672,26000
19673,4800
19674,72500
19675,17000
19676,43250
19677,115785
19678,70000
19679,51900
19680,23800
19681,29000
19682,15000
19683,47998
19684,25999
19685,37500
19686,35000
19687,21000
19688,39000
19689,15999
19690,54900
19691,49999
19692,15000
19693,44900
19694,15000
19695,16000
19696,35000
19697,65900
19698,21000
19699,6500
19700,67900
19701,9499
19702,15500
19703,89000
19704,32900
19705,29950
19706,60894
19707,96900
19708,4999
19709,11500
19710,34500
19711,19900
19712,109499
19713,12000
19714,28000
19715,10500
19716,49500
19717,52889
19718,229000
19719,7000
19720,21900
19721,20500
19722,10000
19723,25215
19724,36300
19725,20000
19726,91000
19727,19780
19728,179900
19729,69900
19730,36000
19731,20995
19732,57000
19733,19500
19734,50999
19735,16000
19736,113990
19737,19600
19738,12500
19739,95580
19740,51900
19741,17000
19742,17599
19743,6000
19744,28900
19745,27500
19746,47995
19747,12975
19748,5500
19749,43860
19750,18500
19751,44990
19752,48190
19753,59500
19754,4500
19755,71950
19756,15500
19757,55000
19758,49998
19759,48000
19760,26500
19761,25500
19762,22495
19763,125900
19764,35000
19765,32500
19766,16750
19767,36500
19768,14980
19769,92000
19770,12000
19771,18750
19772,25000
19773,46998
19774,76598
19775,44900
19776,59200
19777,22500
19778,36999
19779,79999
19780,199998
19781,17999
19782,45000
19783,11500
19784,16500
19785,89999
19786,5000
19787,417500
19788,145000
19789,40200
19790,50000
19791,21000
19792,27599
19793,9000
19794,23999
19795,5000
19796,27450
19797,66500
19798,15000
19799,71995
19800,5000
19801,33700
19802,39860
19803,34900
19804,49900
19805,29000
19806,2300
19807,18500
19808,42000
19809,34000
19810,47995
19811,14500
19812,38999
19813,31995
19814,43000
19815,17500
19816,40000
19817,26900
19818,17000
19819,23500
19820,53000
19821,54000
19822,15500
19823,12500
19824,13600
19825,210000
19826,57999
19827,90998
19828,20900
19829,48500
19830,29500
19831,12750
19832,193063
19833,41500
19834,45000
19835,28995
19836,38781
19837,44000
19838,37999
19839,12000
19840,44315
19841,12900
19842,52000
19843,34000
19844,27899
19845,42000
19846,38000
19847,32612
19848,21000
19849,30499
19850,47500
19851,150000
19852,6800
19853,14000
19854,71200
19855,6500
19856,27000
19857,13995
19858,11500
19859,79950
19860,22000
19861,29497
19862,68000
19863,21000
19864,46000
19865,47999
19866,21000
19867,35500
19868,96998
19869,24500
19870,29000
19871,33000
19872,49000
19873,215000
19874,67000
19875,28000
19876,12000
19877,23977
19878,20470
19879,67900
19880,36990
19881,17900
19882,82499
19883,31000
19884,14500
19885,21000
19886,11000
19887,25500
19888,54000
19889,41500
19890,47998
19891,105500
19892,11500
19893,24200
19894,34500
19895,46500
19896,19500
19897,28300
19898,12250
19899,14500
19900,13999
19901,33610
19902,17500
19903,105000
19904,9499
19905,42500
19906,22000
19907,29950
19908,159500
19909,24900
19910,18000
19911,19800
19912,33889
19913,28250
19914,9000
19915,18500
19916,69500
19917,85000
19918,15700
19919,7500
19920,11800
19921,89750
19922,90200
19923,52000
19924,42499
19925,56900
19926,64000
19927,15995
19928,48998
19929,20000
19930,35500
19931,32500
19932,28750
19933,399950
19934,50500
19935,32541
19936,49900
19937,27000
19938,25800
19939,31906
19940,6000
19941,599995
19942,23000
19943,20000
19944,19999
19945,9000
19946,29995
19947,78900
19948,42500
19949,9999
19950,12500
19951,7500
19952,46000
19953,22500
19954,41999
19955,21000
19956,41599
19957,36000
19958,43000
19959,12500
19960,12449
19961,47850
19962,32000
19963,43837
19964,39857
19965,77430
19966,13900
19967,17900
19968,49500
19969,30000
19970,62425
19971,14500
19972,21500
19973,79950
19974,85000
19975,14311
19976,65000
19977,29500
19978,54900
19979,23000
19980,19212
19981,19425
19982,77900
19983,64000
19984,30500
19985,28500
19986,31000
19987,62425
19988,41688
19989,38000
19990,56000
19991,33000
19992,53900
19993,75000
19994,89750
19995,130000
19996,9250
19997,26500
19998,89750
19999,3850
20000,96850
20001,19000
20002,40000
20003,37500
20004,76000
20005,28250
20006,22749
20007,40598
20008,14000
20009,28000
20010,31900
20011,34700
20012,21000
20013,32000
20014,43663
20015,50000
20016,36999
20017,78350
20018,14599
20019,44800
20020,9200
20021,68995
20022,20800
20023,128000
20024,90000
20025,49900
20026,32085
20027,24999
20028,60000
20029,25000
20030,52000
20031,41100
20032,26999
20033,12468
20034,52999
20035,125900
20036,5700
20037,13000
20038,34999
20039,16900
20040,106798
20041,39999
20042,37050
20043,10199
20044,13000
20045,7700
20046,67500
20047,7390
20048,35000
20049,74900
20050,21900
20051,12000
20052,8500
20053,81500
20054,75000
20055,31000
20056,35500
20057,165000
20058,67999
20059,38500
20060,18999
20061,55000
20062,21000
20063,7900
20064,20995
20065,35000
20066,19212
20067,28500
20068,6250
20069,18000
20070,11500
20071,85000
20072,35000
20073,17000
20074,30999
20075,56900
20076,7900
20077,15400
20078,28251
20079,23750
20080,16000
20081,31000
20082,76598
20083,51950
20084,4750
20085,37500
20086,29995
20087,112500
20088,20500
20089,33490
20090,26750
20091,9500
20092,8900
20093,14999
20094,2899
20095,3500
20096,20800
20097,39244
20098,62000
20099,42500
20100,58000
20101,50900
20102,3200
20103,111000
20104,33900
20105,10500
20106,36000
20107,33499
20108,9950
20109,53600
20110,279000
20111,18387
20112,9500
20113,7900
20114,36998
20115,41500
20116,63900
20117,18000
20118,95000
20119,13000
20120,45277
20121,8000
20122,79950
20123,76700
20124,11200
20125,30000
20126,41900
20127,67900
20128,68000
20129,14500
20130,8995
20131,21000
20132,8000
20133,52999
20134,28500
20135,30000
20136,21990
20137,14900
20138,28499
20139,30000
20140,24999
20141,20499
20142,16000
20143,9950
20144,41000
20145,23000
20146,50998
20147,39998
20148,31450
20149,36995
20150,17950
20151,86000
20152,8450
20153,57619
20154,40000
20155,20000
20156,46500
20157,21590
20158,31999
20159,21000
20160,19998
20161,49500
20162,27500
20163,33400
20164,9499
20165,61500
20166,43147
20167,17500
20168,26900
20169,39100
20170,15750
20171,6750
20172,31700
20173,42800
20174,28251
20175,9999
20176,29975
20177,61000
20178,13000
20179,6999
20180,51500
20181,29000
20182,34000
20183,47598
20184,17000
20185,54900
20186,7945
20187,19999
20188,7495
20189,57300
20190,15999
20191,21000
20192,38633
20193,18000
20194,42900
20195,171900
20196,16000
20197,35000
20198,37500
20199,38383
20200,28000
20201,15500
20202,10800
20203,65000
20204,11970
20205,28000
20206,19950
20207,244896
20208,19000
20209,45000
20210,81500
20211,48889
20212,72900
20213,50000
20214,54000
20215,37999
20216,21500
20217,33600
20218,33400
20219,12700
20220,30999
20221,40999
20222,16488
20223,50204
20224,20000
20225,51999
20226,51890
20227,128900
20228,29990
20229,42599
20230,85000
20231,46500
20232,41000
20233,75000
20234,26288
20235,6000
20236,146000
20237,17500
20238,24000
20239,17498
20240,27900
20241,42500
20242,16500
20243,39798
20244,11500
20245,6250
20246,22995
20247,18500
20248,12950
20249,44800
20250,43000
20251,30089
20252,150000
20253,28500
20254,35113
20255,15750
20256,9500
20257,16500
20258,31500
20259,69995
20260,17000
20261,38880
20262,9500
20263,16000
20264,10500
20265,37899
20266,29000
20267,9750
20268,5500
20269,29900
20270,48815
20271,35619
20272,7200
20273,24590
20274,54000
20275,279991
20276,39995
20277,54000
20278,46900
20279,29990
20280,6500
20281,44999
20282,11500
20283,29500
20284,38598
20285,16500
20286,11500
20287,21000
20288,15599
20289,29995
20290,92000
20291,25925
20292,72777
20293,43999
20294,75000
20295,62499
20296,29500
20297,33410
20298,226000
20299,15750
20300,116911
20301,84000
20302,29995
20303,15000
20304,10990
20305,25000
20306,104900
20307,17999
20308,17995
20309,30000
20310,23000
20311,32000
20312,27350
20313,68500
20314,4000
20315,122950
20316,7899
20317,49000
20318,35470
20319,6950
20320,2300
20321,77900
20322,28000
20323,5500
20324,399950
20325,7500
20326,48500
20327,94995
20328,22999
20329,6999
20330,41000
20331,6700
20332,17500
20333,10995
20334,36969
20335,39127
20336,10995
20337,21500
20338,38900
20339,37995
20340,15000
20341,169000
20342,33900
20343,25500
20344,20000
20345,43389
20346,38005
20347,27000
20348,47999
20349,16500
20350,11995
20351,26500
20352,77897
20353,39000
20354,20000
20355,18000
20356,24980
20357,131999
20358,22000
20359,17500
20360,70000
20361,9500
20362,24995
20363,9100
20364,155000
20365,35234
20366,48000
20367,39900
20368,31500
20369,15995
20370,66500
20371,5995
20372,44750
20373,29500
20374,27900
20375,38000
20376,16800
20377,15500
20378,92500
20379,34599
20380,99000
20381,39750
20382,28000
20383,215000
20384,75000
20385,5200
20386,20500
20387,27500
20388,97500
20389,35000
20390,48600
20391,6600
20392,63500
20393,26500
20394,104900
20395,20000
20396,42998
20397,38000
20398,96500
20399,79900
20400,40200
20401,32000
20402,234900
20403,324995
20404,64500
20405,69995
20406,27875
20407,9500
20408,33950
20409,5500
20410,38000
20411,55000
20412,239995
20413,19995
20414,36000
20415,9985
20416,34500
20417,62500
20418,16100
20419,279950
20420,62999
20421,10500
20422,85500
20423,10299
20424,145000
20425,20999
20426,38900
20427,24500
20428,12995
20429,18200
20430,52000
20431,18500
20432,13750
20433,35645
20434,85000
20435,46500
20436,35500
20437,35000
20438,58900
20439,37998
20440,6450
20441,69685
20442,47124
20443,36994
20444,7999
